NEET 2025 Practice Paper — SET 1 (All 180 Questions),,,,,,,,
qno,subject,topic,question,optionA,optionB,optionC,optionD,correctAnswer
1,Physics,Kinematics,A particle moves along X-axis such that its position is x = 3t² − 2t + 5. The acceleration of the particle at t = 2s is:,6 m/s²,12 m/s²,4 m/s²,8 m/s²,A
2,Physics,Laws of Motion,"A block of mass 5 kg is placed on a rough incline of angle 30°. If μ = 0.4, the net force on the block along the incline is (g=10 m/s²):",5 N down,8.2 N down,7.4 N down,3.5 N up,B
3,Physics,Work Energy Power,A spring of force constant 800 N/m is compressed by 10 cm. The potential energy stored in it is:,4 J,8 J,40 J,0.4 J,A
4,Physics,Rotational Motion,A solid cylinder and a hollow cylinder of same mass and radius roll down a frictionless incline. Which reaches the bottom first?,Hollow cylinder,Solid cylinder,Both simultaneously,Depends on inclination,B
5,Physics,Gravitation,The escape velocity from the surface of Earth is 11.2 km/s. The escape velocity from a planet of same mass but double the radius is:,5.6 km/s,22.4 km/s,7.9 km/s,11.2 km/s,A
6,Physics,Properties of Matter,"A steel wire of length 2m and cross-section 10⁻⁶ m² is stretched by 1mm. If Y = 2×10¹¹ Pa, the force applied is:",100 N,200 N,50 N,150 N,A
7,Physics,Thermodynamics,"In an adiabatic process, the work done by gas equals:",Zero,Increase in internal energy,Decrease in internal energy,Heat absorbed,C
8,Physics,Kinetic Theory,The rms speed of oxygen molecules at 0°C is approximately (M = 32 g/mol):,461 m/s,831 m/s,331 m/s,181 m/s,A
9,Physics,Oscillations,"A simple pendulum of length 1m has time period T on Earth. On moon (g = 1.6 m/s²), its time period is:",2.48 s,1.57 s,3.14 s,6.28 s,A
10,Physics,Waves,Two sound waves have intensities I and 4I. The difference in their sound levels is:,3 dB,6 dB,10 dB,20 dB,B
11,Physics,Electrostatics,"Three charges +q, +q, −q are placed at corners of an equilateral triangle of side a. The potential at centroid is:",kq/a,zero,3kq/a,kq/√3a,B
12,Physics,Electrostatics,"The electric field between plates of a parallel plate capacitor with plate separation d and voltage V is uniform. If a dielectric of constant K is inserted, the capacitance becomes:",C/K,KC,C+K,C−K,B
13,Physics,Current Electricity,"In a Wheatstone bridge P/Q = R/S, if P = 100Ω, Q = 200Ω, R = 300Ω, the value of S for balance is:",150 Ω,600 Ω,100 Ω,450 Ω,B
14,Physics,Current Electricity,A cell of EMF 2V and internal resistance 0.5Ω is connected to an external resistance of 1.5Ω. The terminal voltage is:,1.5 V,2 V,1 V,0.5 V,A
15,Physics,Magnetism,"A proton moving with velocity v enters a uniform magnetic field B perpendicularly. The radius of its circular path is (mass m, charge e):",mv/eB,eB/mv,mB/ev,ev/mB,A
16,Physics,Magnetism,Two long parallel wires carry currents 2A and 4A in opposite directions separated by 0.1m. The force per unit length between them is:,1.6×10⁻⁵ N/m repulsive,1.6×10⁻⁵ N/m attractive,3.2×10⁻⁵ N/m repulsive,8×10⁻⁶ N/m attractive,A
17,Physics,EMI,"A circular coil of 100 turns, area 10⁻² m², is rotated at 50 Hz in a field B = 0.1T. The peak EMF induced is:",π V,2π V,5π V,10π V,C
18,Physics,AC Circuits,"In an LCR series circuit at resonance, the impedance equals:",Zero,R only,√(R²+X²),XL+XC,B
19,Physics,Optics,A convex lens of focal length 20 cm forms a real image at 60 cm from the lens. The object distance is:,30 cm,40 cm,25 cm,15 cm,A
20,Physics,Optics,Critical angle for a medium of refractive index √2 is:,30°,45°,60°,90°,B
21,Physics,Wave Optics,"In Young's double slit experiment, the fringe width is β. If the slit separation is doubled, fringe width becomes:",2β,β/2,β/4,4β,B
22,Physics,Wave Optics,The resolving power of a microscope increases when:,Wavelength of light increases,Numerical aperture decreases,Wavelength decreases,Refractive index of medium decreases,C
23,Physics,Modern Physics,The work function of sodium is 2.3 eV. The threshold wavelength for photoelectric emission is approximately:,540 nm,340 nm,440 nm,640 nm,A
24,Physics,Modern Physics,The de Broglie wavelength of an electron accelerated through 100 V is approximately:,0.123 nm,1.23 nm,12.3 nm,0.0123 nm,A
25,Physics,Atoms,"In Bohr's model, the radius of 3rd orbit of hydrogen is (r₁ = 0.529 Å):",4.76 Å,9 × 0.529 Å,3 × 0.529 Å,6 × 0.529 Å,A
26,Physics,Nuclei,The binding energy per nucleon is maximum for:,Iron (Fe-56),Uranium (U-238),Helium (He-4),Carbon (C-12),A
27,Physics,Semiconductors,"In a p-n junction diode under forward bias, the width of depletion layer:",Increases,Decreases,Remains same,First increases then decreases,B
28,Physics,Semiconductors,"The forbidden energy gap in a conductor, semiconductor and insulator follow the order:",C > S > I,I > S > C,S > C > I,C = S < I,B
29,Physics,Communication,The frequency range used for satellite communication is:,HF (3-30 MHz),MF (300-3000 kHz),SHF (3-30 GHz),VLF (3-30 kHz),C
30,Physics,Kinematics,A projectile is launched at 45° with initial speed u. The horizontal range is:,u²/g,2u²/g,u²/2g,√2 u²/g,A
31,Physics,Laws of Motion,A 10 kg block on a frictionless surface is pushed by a force F = 30 N at angle 30° below horizontal. The normal reaction is:,98 N,113 N,83 N,100 N,B
32,Physics,Fluid Mechanics,"According to Bernoulli's theorem, in streamline flow of an ideal fluid, the sum of pressure, kinetic energy per unit volume and potential energy per unit volume is:",Variable,Constant,Zero,Maximum at narrowest point,B
33,Physics,Thermodynamics,"In a Carnot engine, the efficiency is 40% and the sink temperature is 300K. The source temperature is:",500 K,400 K,420 K,600 K,A
34,Physics,Electrostatics,A charge Q is distributed uniformly over a thin spherical shell of radius R. The electric field inside the shell at distance r < R is:,KQ/r²,KQ/R²,Zero,KQr/R³,C
35,Physics,Current Electricity,"Three resistors 2Ω, 3Ω and 6Ω are connected in parallel. The equivalent resistance is:",1 Ω,11 Ω,1/11 Ω,6 Ω,A
36,Physics,Magnetism,The magnetic moment of a current loop of area A and current I is:,IA,I/A,A/I,I²A,A
37,Physics,EMI,Lenz's law is a consequence of the law of conservation of:,Charge,Energy,Momentum,Mass,B
38,Physics,Optics,A ray of light travels from glass (n=1.5) to water (n=1.33). The critical angle is:,62.7°,41.8°,48.8°,56.2°,A
39,Physics,Modern Physics,Compton shift Δλ = (h/m₀c)(1−cosθ). The maximum shift occurs when θ equals:,0°,45°,90°,180°,D
40,Physics,Nuclei,Half life of a radioactive element is 10 days. Time for 87.5% decay is:,20 days,30 days,40 days,50 days,B
41,Physics,Waves,The speed of sound in air is 340 m/s. A source emitting 500 Hz moves towards a stationary observer at 34 m/s. Observed frequency is:,550 Hz,455 Hz,500 Hz,476 Hz,A
42,Physics,Oscillations,"For a particle in SHM, the ratio of kinetic energy to total energy when displacement is half the amplitude is:",01-Apr,03-Apr,01-Feb,1/√2,B
43,Physics,Properties of Matter,The excess pressure inside a soap bubble of radius R and surface tension T is:,2T/R,4T/R,T/R,T/2R,B
44,Physics,Rotational Motion,"A ring, a disc and a sphere all of same mass and radius roll without slipping. The one with greatest moment of inertia about its own axis is:",Ring,Disc,Sphere,All equal,A
45,Physics,Electrostatics,Two point charges +4q and −q are separated by distance d. The neutral point (where E=0) is located:,Between the charges,At d/3 from −q outside,At 2d from +4q outside,At d from −q outside on far side,B
46,Chemistry,Atomic Structure,The number of radial nodes in 3p orbital is:,0,1,2,3,B
47,Chemistry,Chemical Bonding,The hybridization and geometry of XeF₄ is:,"sp³d², octahedral","sp³d², square planar","sp³d, trigonal bipyramidal","sp³, tetrahedral",B
48,Chemistry,Chemical Bonding,Bond order of O₂⁻ (superoxide ion) is:,1.5,2.5,2,1,A
49,Chemistry,States of Matter,"At STP, equal volumes of all gases contain equal number of molecules. This is:",Boyle's Law,Charles' Law,Avogadro's Hypothesis,Dalton's Law,C
50,Chemistry,Thermodynamics,"For a spontaneous process at constant T and P, the Gibbs free energy change ΔG must be:",Positive,Zero,Negative,Equal to enthalpy,C
51,Chemistry,Equilibrium,"For the reaction N₂ + 3H₂ ⇌ 2NH₃, Kp and Kc are related as:",Kp = Kc(RT)²,Kp = Kc(RT)⁻²,Kp = Kc(RT),Kp = Kc,B
52,Chemistry,Redox Reactions,Oxidation state of Cr in K₂Cr₂O₇ is:,3,6,7,4,B
53,Chemistry,Solutions,The van't Hoff factor for Al₂(SO₄)₃ assuming complete dissociation is:,3,4,5,6,C
54,Chemistry,Electrochemistry,Standard electrode potential of SHE (Standard Hydrogen Electrode) is:,1 V,0 V,-1 V,0.5 V,B
55,Chemistry,Chemical Kinetics,"For a first order reaction, the time required for 99% completion is approximately:",2 × t₁/₂,3.32 × t₁/₂,6.64 × t₁/₂,10 × t₁/₂,C
56,Chemistry,Surface Chemistry,Adsorption of gases on solids is generally:,Endothermic,Exothermic,Thermoneutral,Depends on gas,B
57,Chemistry,p-Block Elements,The oxide of nitrogen that is a mixed anhydride is:,N₂O,NO,N₂O₃,N₂O₅,C
58,Chemistry,d-Block Elements,KMnO₄ in acidic medium acts as oxidizing agent. The oxidation state of Mn changes from +7 to:,0,2,4,6,B
